"group_letter","rank","team","team_id","tla","played","won","drawn","lost","gf","ga","gd","points","tie_unresolved","group_complete"
"A",1,"Mexico",769,"MEX",3,3,0,0,6,0,6,9,FALSE,TRUE
"A",2,"South Africa",774,"RSA",3,1,1,1,2,3,-1,4,FALSE,TRUE
"A",3,"South Korea",772,"KOR",3,1,0,2,2,3,-1,3,FALSE,TRUE
"A",4,"Czechia",798,"CZE",3,0,1,2,2,6,-4,1,FALSE,TRUE
"B",1,"Switzerland",788,"SUI",3,2,1,0,7,3,4,7,FALSE,TRUE
"B",2,"Canada",828,"CAN",3,1,1,1,8,3,5,4,FALSE,TRUE
"B",3,"Bosnia-Herzegovina",1060,"BIH",3,1,1,1,5,6,-1,4,FALSE,TRUE
"B",4,"Qatar",8030,"QAT",3,0,1,2,2,10,-8,1,FALSE,TRUE
"C",1,"Brazil",764,"BRA",3,2,1,0,7,1,6,7,FALSE,TRUE
"C",2,"Morocco",815,"MAR",3,2,1,0,6,3,3,7,FALSE,TRUE
"C",3,"Scotland",8873,"SCO",3,1,0,2,1,4,-3,3,FALSE,TRUE
"C",4,"Haiti",836,"HAI",3,0,0,3,2,8,-6,0,FALSE,TRUE
"D",1,"United States",771,"USA",2,2,0,0,6,1,5,6,FALSE,FALSE
"D",2,"Australia",779,"AUS",2,1,0,1,2,2,0,3,FALSE,FALSE
"D",3,"Paraguay",761,"PAR",2,1,0,1,2,4,-2,3,FALSE,FALSE
"D",4,"Turkey",803,"TUR",2,0,0,2,0,3,-3,0,FALSE,FALSE
"E",1,"Germany",759,"GER",3,2,0,1,10,4,6,6,FALSE,TRUE
"E",2,"Ivory Coast",1935,"CIV",3,2,0,1,4,2,2,6,FALSE,TRUE
"E",3,"Ecuador",791,"ECU",3,1,1,1,2,2,0,4,FALSE,TRUE
"E",4,"Curaçao",9460,"CUW",3,0,1,2,1,9,-8,1,FALSE,TRUE
"F",1,"Netherlands",8601,"NED",2,1,1,0,7,3,4,4,FALSE,FALSE
"F",2,"Japan",766,"JPN",2,1,1,0,6,2,4,4,FALSE,FALSE
"F",3,"Sweden",792,"SWE",2,1,0,1,6,6,0,3,FALSE,FALSE
"F",4,"Tunisia",802,"TUN",2,0,0,2,1,9,-8,0,FALSE,FALSE
"G",1,"Egypt",825,"EGY",2,1,1,0,4,2,2,4,FALSE,FALSE
"G",2,"Iran",840,"IRN",2,0,2,0,2,2,0,2,FALSE,FALSE
"G",3,"Belgium",805,"BEL",2,0,2,0,1,1,0,2,FALSE,FALSE
"G",4,"New Zealand",783,"NZL",2,0,1,1,3,5,-2,1,FALSE,FALSE
"H",1,"Spain",760,"ESP",2,1,1,0,4,0,4,4,FALSE,FALSE
"H",2,"Uruguay",758,"URU",2,0,2,0,3,3,0,2,FALSE,FALSE
"H",3,"Cape Verde Islands",1930,"CPV",2,0,2,0,2,2,0,2,FALSE,FALSE
"H",4,"Saudi Arabia",801,"KSA",2,0,1,1,1,5,-4,1,FALSE,FALSE
"I",1,"France",773,"FRA",2,2,0,0,6,1,5,6,FALSE,FALSE
"I",2,"Norway",8872,"NOR",2,2,0,0,7,3,4,6,FALSE,FALSE
"I",3,"Senegal",804,"SEN",2,0,0,2,3,6,-3,0,FALSE,FALSE
"I",4,"Iraq",8062,"IRQ",2,0,0,2,1,7,-6,0,FALSE,FALSE
"J",1,"Argentina",762,"ARG",2,2,0,0,5,0,5,6,FALSE,FALSE
"J",2,"Austria",816,"AUT",2,1,0,1,3,3,0,3,FALSE,FALSE
"J",3,"Algeria",778,"ALG",2,1,0,1,2,4,-2,3,FALSE,FALSE
"J",4,"Jordan",8049,"JOR",2,0,0,2,2,5,-3,0,FALSE,FALSE
"K",1,"Colombia",818,"COL",2,2,0,0,4,1,3,6,FALSE,FALSE
"K",2,"Portugal",765,"POR",2,1,1,0,6,1,5,4,FALSE,FALSE
"K",3,"Congo DR",1934,"COD",2,0,1,1,1,2,-1,1,FALSE,FALSE
"K",4,"Uzbekistan",8070,"UZB",2,0,0,2,1,8,-7,0,FALSE,FALSE
"L",1,"England",770,"ENG",2,1,1,0,4,2,2,4,FALSE,FALSE
"L",2,"Ghana",763,"GHA",2,1,1,0,1,0,1,4,FALSE,FALSE
"L",3,"Croatia",799,"CRO",2,1,0,1,3,4,-1,3,FALSE,FALSE
"L",4,"Panama",1836,"PAN",2,0,0,2,0,2,-2,0,FALSE,FALSE
